,conference,acronynm,rank,area_of_research
334,IEEE Symposium on Visual Analytics Science and Technology,IEEE VAST,C,Computation Theory and Mathematics†
335,IEEE Symposium on Visual Languages and Human-Centric Computing (was VL),VL/HCC,B,Information Systems†
336,IEEE Tencon (IEEE Region 10 Conference),Tencon,C,Computer Hardware†
337,IEEE Vehicular Technology Conference,VTC,B,Automotive Engineering†
338,IEEE Visualization,IEEE VIS,A,Artificial Intelligence and Image Processing†
339,IEEE Wireless Communications and Networking Conference,WCNC,B,Computer Hardware†
340,IEEE Workshop on Applications of Computer Vision,WACV,A,Artificial Intelligence and Image Processing†
341,IEEE Workshop on High Performance Switching and Routing,HPSR,C,Communications Technologies†
342,IEEE/ACIS International Conference on Computer and Information Science,ICIS,C,Information and Computing Sciences†
343,IEEE/ACM International Conference on Computer-Aided Design,ICCAD,A,Artificial Intelligence and Image Processing†
344,IEEE/ACM International Symposium on Mixed and Augmented Reality,ISMAR,A*,Artificial Intelligence and Image Processing†
345,IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,A,Computer Software†
346,IEEE/IFIP International Conference on Embedded and Ubiquitous Computing,EUC,C,Information Systems†
347,IEEE/RSJ International Conference on Intelligent Robots and Systems,IROS,A,Manufacturing Engineering†
348,IEEE/WIC/ACM International Joint Conferences on Web Intelligence and Intelligent Agent Technology,WI-IAT,B,Artificial Intelligence and Image Processing†
349,IFAC Conference on System Structure and Control,SSSC,C,Computer Software†
350,"IFAC Symposium on Fault Detection, Supervision and Safety of Technical Processes",SAFEProcess,C,Communications Technologies†
351,IFIP Information Security & Privacy Conference,IFIP SEC,B,Information Systems†
352,IFIP International Conference on Distributed Applications and Interoperable Systems,DAIS,B,Distributed Computing†
353,IFIPÂ International Conference on Network and Parallel Computing,NPC,C,Distributed Computing†
354,IFIP International Conference on Networking,Networking,A,Computer Hardware†
355,"IFIP International Symposium on Computing Performance, Modelling, Measurement and Evaluation",PERFORMANCE,A,Computer Software†
356,IFIP TC13 Conference on Human-Computer Interaction,Interact,A,Design Practice and Management†
357,IFIP WG 11.3 Working Conference on Data and Applications Security (also known as DBSEC),DBSEC,B,Distributed Computing†
358,IFIP Working Conferences on Virtual Enterprises,PRO-VE,C,Information Systems†
359,IFSA World Congress,IFSA,B,Artificial Intelligence and Image Processing†
360,IMA International Conference on Cryptography and Coding,IMACC,B,Data Format†
361,Image and Vision Computing Conference,IVCNZ,Australasian B,Artificial Intelligence and Image Processing†
362,Inductive Logic Programming,ILP,B,Computation Theory and Mathematics†
363,Industrial Simulation Conference,ISC,C,Information Systems†
364,Information Hiding and Multimedia Security Workshop,IH&MMSec,C,Data Format†
365,Information Integration and Web-based Applications and Services,IIWAS,C,Information Systems†
366,Information Processing in Sensor Networks,IPSN,A*,Computer Hardware†
367,Information Security Conference,ISC,B,Information Systems†
368,Information Security Practice and Experience Conference,ISPEC,B,Computer Software†
369,Information Security Symposium,CERIAS,National: USA,Computer Software†
370,Information Theory Workshop,ITW,B,Data Format†
371,Information Visualisation Theory and Practice,InfVis,C,Artificial Intelligence and Image Processing†
372,Information Visualization in Biomedical Informatics,IVBI,C,Artificial Intelligence and Image Processing†
373,Informing Science and Information Technology Education,InSITE,C,Other Information and Computing Sciences†
374,Innovations in Theoretical Computer Science,ITCS,A,Theory of computation
375,Innovative Applications in AI,IAAI,B,Artificial Intelligence and Image Processing†
376,Int. Workshop on Formal Methods for Industrial Critical Systems,FMICS,C,Computation Theory and Mathematics†
377,Integrated Formal Methods,IFM,B,Computation Theory and Mathematics†
378,Intelligent Data Analysis,IDA,A,Data Format†
379,Intelligent Distributed Computing,IDC,Unranked,Distributed computing and systems software
380,Intelligent Systems in Molecular Biology,ISMB,A,Computer Software†
381,Intelligent Vehicles Conference,IEEE-IV,B,Rank: B
382,Intelligent Virtual Agents,IVA,B,Artificial Intelligence and Image Processing†
383,Intenational Environmental Modelling and Software Society,iEMSs,C,Rank: C
384,Interactive Entertainment,IE,Australasian C,Other Information and Computing Sciences†
385,International and Interdisciplinary Conference on Modelling and Using Context,CONTEXT,C,Computation Theory and Mathematics†
386,International Baltic Conference on Databases and Information Systems,DB&IS,Regional - Baltic,Data Format†
387,International Colloquium on Automata Languages and Programming,ICALP,A,Computation Theory and Mathematics†
388,International Colloquium on Structural Information and Communication Complexity,SIROCCO,B,Computation Theory and Mathematics†
389,International Colloquium on Theoretical Aspects of Computing,ICTAC,B,Computation Theory and Mathematics†
390,International Computer Science Symposium in Russia,CSR,National: Russia,Computation Theory and Mathematics†
391,International Computer Software and Applications Conference,COMPSAC,B,Computer Software†
392,International Computing Education Research Workshop,ICER,B,Other Information and Computing Sciences†
393,"International Conference Abstract State Machines, Alloy, B, TLA, VDM, and Z (Previously International Conference of B and Z Users, ZB, changed in 2008)",ABZ,C,Computer Software†
394,International Conference and Exhibition on High Performance Computing in the Asia-Pacific Region,HPC Asia,B,Distributed Computing†
395,International Conference and Workshops on Algorithms and Computation,WALCOM,C,Computation Theory and Mathematics†
396,"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)",SC,A,Distributed Computing†
397,International Conference Formal Concept Analysis Conference,ICFCA,C,Artificial Intelligence and Image Processing†
398,International Conference in Business Process Management,BPM,A,Information Systems†
399,International Conference on AD-HOC Networks and Wireless,ADHOC-NOW,B,Communications Technologies†
400,International Conference on Advanced and Trusted Computing (was International Conference on Autonomic and Trusted Computing),ATC,C,Computer Software†
401,International Conference on Advanced Computing and Communications,AdCom,National: India,Distributed Computing†
402,International Conference on Advanced Data Mining and Applications,ADMA,B,Data Format†
403,International Conference on Advanced Information Networking and Applications (was ICOIN),AINA,B,Distributed Computing†
404,International Conference on Advanced Information Systems Engineering,CaiSE,A,Information Systems†
405,International Conference on Advances in Computer-Human Interactions,ACHI,C,Information Systems†
406,International Conference on Advances in Mobile Computing and Multimedia,MOMM,B,Design Practice and Management†
407,International Conference on Affective Computing and Intelligent,ACII,C,Artificial Intelligence and Image Processing†
408,International Conference on Agents and Artificial Intelligence,ICAART,C,Artificial Intelligence and Image Processing†
409,International Conference on Algorithms and Architectures for Parallel Processing,ICA3PP,B,Distributed Computing†
410,International Conference on Algorithms and Complexity (was Italian Conference ),CIAC,C,Computation Theory and Mathematics†
411,International Conference on Applied Cryptography and Network Security,ACNS,B,Computer Software†
412,International Conference on Artificial Intelligence,IC-AI,National: USA,Artificial Intelligence and Image Processing†
413,International Conference on Artificial Intelligence and Law,ICAIL,C,Artificial Intelligence and Image Processing†
414,International Conference on Artificial Intelligence and Soft Computing,ICAISC,National: Poland,Artificial Intelligence and Image Processing†
415,International Conference on Artificial Intelligence and Statistics,AISTATS,A,Artificial Intelligence and Image Processing†
416,International Conference on Artificial Intelligence in Education,AIED,A,Artificial Intelligence and Image Processing†
417,"International Conference on Artificial Intelligence: Methodology, Systems, Applications",AIMSA,National: Bulgaria,Artificial Intelligence and Image Processing†
418,International Conference on Artificial Neural Networks,ICANN,B,Artificial Intelligence and Image Processing†
419,International Conference on Artificial Reality and Telexistance & Eurographics Symposium on Virtual Environments,EGVE,B,Computation Theory and Mathematics†
420,International Conference on Automated Deduction,CADE,A,Artificial Intelligence and Image Processing†
421,International Conference on Automated Planning and Scheduling,ICAPS,A*,Communications Technologies†
422,"International Conference on Availability, Reliability and Security",ARES,B,Computer Software†
423,"International Conference on Broadband Communications, Networks and Systems",Broadnets,B,Communications Technologies†
424,International Conference on Case-Based Reasoning,ICCBR,B,Artificial Intelligence and Image Processing†
425,"International Conference on Collaborative Computing: Networks, Applications and Worksharing",CollaborateCom,C,Information Systems†
426,International Conference on Communication Systems and Applications,ICCSA,C,Rank: C
427,International Conference on Compiler Construction,CC,A,Computer Software†
428,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",CASES,A,Computer Hardware†
429,"International Conference on Complex, Intelligent and Software Intensive Systems",CISIS,C,Distributed Computing†
430,International Conference on Computability and Complexity in Analysis,CCA,C,Computation Theory and Mathematics†
431,International Conference on Computational Collective Intelligence,ICCCI,C,Artificial Intelligence and Image Processing†
432,International Conference on Computational Creativity,ICCC,Unranked,Information and Computing Sciences
433,International Conference on Computational Intelligence and Security,CIS,National: China,Computer Software†
434,International Conference on Computational Linguistics,COLING,A,Artificial Intelligence and Image Processing†
435,International Conference on Computational Molecular Biology,RECOMB,B,Computation Theory and Mathematics†
436,International Conference on Computational Science,ICCS,A,Computation Theory and Mathematics†
437,International Conference on Computational Science and its Applications,ICCSA,C,Computation Theory and Mathematics†
438,International Conference on Computer Analysis of Images and Patterns,CAIP,B,Artificial Intelligence and Image Processing†
439,International Conference on Computer Communication and Networks,ICCCN,A,Distributed Computing†
440,"International Conference on Computer Safety, Reliability and Security",SAFECOMP,B,Computer Software†
441,International Conference on Computer Supported Cooperative Work in Design,CSCWD,B,Design Practice and Management†
442,International Conference on Computer Vision Systems,ICVS,C,Artificial Intelligence and Image Processing†
443,International Conference on Computers and their Applications,CATA,National: USA,Information and Computing Sciences†
444,International Conference on Computers Helping People with Special Needs,ICCHP,C,Other Information and Computing Sciences†
445,International Conference on Computers in Education,ICCE,B,Other Information and Computing Sciences†
446,International Conference on Computing and Combinatorics,COCOON,National:China,Computation Theory and Mathematics†
447,International Conference on Computing and Informatics,ICOCI,C,Information Systems†
448,International Conference on Conceptual Modelling,ER,A,Data Format†
449,International Conference on Conceptual Structures,ICCS,B,Computation Theory and Mathematics†
450,International Conference on Concurrency Theory,CONCUR,A,Computation Theory and Mathematics†
451,"International Conference on Control, Automation, Robotics and Vision",ICARCV,A,Geomatic Engineering †
452,International Conference on Cooperative Information Systems,CoopIS,A,Information Systems†
453,International Conference on Coordination Models and Languages,Coordination,B,Computer Software†
454,International Conference on Cryptology and Network Security,CANS,B,Computer Software†
455,International Conference on Cryptology in India,INDOCRYPT,National: India,Data Format†
456,International Conference on Cyberworlds (was International Symposium on Cyberworlds),CW,B,Computation Theory and Mathematics†
457,International Conference on Data Engineering,ICDE,A*,Data Format†
458,International Conference on Database and Expert Systems Applications,DEXA,B,Information Systems†
459,International Conference on Database Systems for Advanced Applications,DASFAA,B,duplicate record was ranked A
460,International Conference on Database Theory,ICDT,A,Data Format†
461,International Conference on Dependability of Computer Systems,DEPCoS,National: Poland,Computer Software†
462,"International Conference on Dependable, Autonomic and Secure Computing",DASC,C,Computer Software†
463,International Conference on Digital Society,ICDS,C,Other Information and Computing Sciences†
464,International Conference on Discrete Geometry for Computer Imagery,DGCI,C,Computation Theory and Mathematics†
465,International Conference on Distributed Computing and Internet Technologies,ICDCIT,National: India,Distributed Computing†
466,International Conference on Distributed Computing and Networking,ICDCN,National: India,Distributed Computing†
467,International Conference on Distributed Computing Systems,ICDCS,A,Distributed Computing†
468,International Conference on Dublin Core and Metadata Applications,DC,C,Data Format†
469,International Conference on Electronic Commerce,ICEC,C,Information Systems†
470,International Conference on Embedded and Real Time Computing Systems and Applications,RTCSA,B,Computer Hardware†
471,International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks),EWSN,A,Communications Technologies†
472,International Conference on Emerging Ubiquitous Systems and Pervasive Networks,EUSPN,Unranked,Distributed computing and systems software
473,International Conference on Engineering Applications of Neural Networks,EANN,C,Artificial Intelligence and Image Processing†
474,International Conference on Entertainment Computing,ICEC,C,Information Systems†
475,International Conference on Evaluation and Assessment in Software Engineering,EASE,A,Computer Software†
476,International Conference on Evaluation of Novel Approaches to Software Engineering,ENASE,B,Computer Software†
477,International Conference on Formal Engineering Methods,ICFEM,B,Computer Software†
478,International Conference on Formal Ontology in Information Systems,FOIS,A,Information Systems†
479,International Conference on Frontiers of Handwriting Recognition,ICFHR,B,Artificial Intelligence and Image Processing†
480,International Conference on Frontiers of Information Technology,FIT,National: Pakistan,Information and Computing Sciences†
481,International Conference on Functional Programming,ICFP,A*,Computer Software†
482,International Conference on Generative Programming and Component Engineering,GPCE,B,Computer Software†
483,International Conference on Graph Transformations,ICGT,B,Computation Theory and Mathematics†
484,"International Conference on Green, Pervasive and Cloud Computing (was Grid and Pervasive Computing)",GPC,C,Distributed Computing†
485,"International Conference on Hardware/Software Codesign and System Synthesis (previously ISSN, changed in 2003)",CODES+ISSS,C,Information Systems†
486,"International Conference on Heterogeneous Networking for Quality, Reliability, Security and Robustness (was International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks)",Qshine,B,Computer Hardware†
487,International Conference on High Performance Computing,HiPC,National: India,Distributed Computing†
488,International Conference on High Performance Scientific Computing,HPSC,National: Vietnam,Distributed Computing†
489,International Conference on Human Factors in Computing Systems,CHI,A*,Design Practice and Management†
490,International Conference on Human-Computer Interaction with Mobile Devices and Services,MobileHCI,B,Information Systems†
491,International Conference on Hybrid Artificial Intelligence Systems,HAIS,National: Spain,Artificial Intelligence and Image Processing†
492,International Conference on Hybrid Intelligent Systems,HIS,C,Artificial Intelligence and Image Processing†
493,International Conference on Image Analysis and Processing,ICIAP,National: Italy,Artificial Intelligence and Image Processing†
494,International Conference on Image Analysis and Recognition,ICIAR,C,Artificial Intelligence and Image Processing†
495,International Conference on Image and Graphics,ICIG,National: China,Artificial Intelligence and Image Processing†
496,International Conference on Image and Signal Processing,ICISP,C,Artificial Intelligence and Image Processing†
497,International Conference on Implementation and Application of Automata,CIAA,B,Artificial Intelligence and Image Processing†
498,International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems,IEA/AIE,B,Artificial Intelligence and Image Processing†
499,International Conference on Information and Communication Technologies and Development,ICTD,C,Information and Computing Sciences†
500,International Conference on Information and Communication Technologies in Tourism,ENTER,C,Information Systems†
501,International Conference on Information and Communications Security,ICICS,B,Computer Software†
502,International Conference on Information and Knowledge Engineering,IKE,National: USA,Artificial Intelligence and Image Processing†
503,International Conference on Information Fusion,FUSION,C,Computation Theory and Mathematics†
504,International Conference on Information Processing and Management of Uncertainty,IPMU,C,Information Systems†
505,International Conference on Information Security and Cryptography,SECRYPT,B,Data Format†
506,International Conference on Information Security and Cryptology,ICISC,National: Korea,Data Format†
507,International Conference on Information Systems Security,ICISS,National: India,Computer Software†
508,International Conference on Information Technology and Applications,ICITA,Australasian C,Information and Computing Sciences†
509,International Conference on Information Technology: Coding and Computing,ITCC,C,Computer Software†
510,International Conference on Information Visualisation,IV,B,Design Practice and Management†
511,International Conference on Innovations for Community Services (was Innovative Internet Computer Systems IICS until 2014),I4CS,C,Information Systems†
512,International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems,CPAIOR,B,Artificial Intelligence and Image Processing†
513,International Conference on Intelligent Data Engineering and Automated Learning,IDEAL,C,Information and Computing Sciences†
514,"International Conference on Intelligent Software Methodologies, Tools, and Techniques (was International Conference on Software Methods and Tools)",SoMeT,B,Computer Software†
515,International Conference on Intelligent Systems and Knowledge Engineering,ISKE,National: China,Artificial Intelligence and Image Processing†
516,International Conference on Intelligent Systems Designs and Applications,ISDA,C,Artificial Intelligence and Image Processing†
517,International Conference on Intelligent Text Processing and Computational Linguistics,CICLING,B,Artificial Intelligence and Image Processing†
518,International Conference on Intelligent Tutoring Systems,ITS,A,Artificial Intelligence and Image Processing†
519,International Conference on Intelligent User Interfaces,IUI,A,Information Systems†
520,"International Conference on Interactive Digital Storytelling (2008 merger of ""ICVS International Conference on Virtual Storytelling"" and ""TIDSE Technology for Interactive Digital Storytelling"")",ICIDS,C,Other Information and Computing Sciences†
521,International Conference on Internet and Web Applications and Services,ICIW,C,Information Systems†
522,International Conference on Internet Computing in Science and Engineering,ICICSE,C,Distributed Computing†
523,International Conference on Internet Monitoring and Protection,ICIMP,C,Computer Software†
524,International Conference on Internet Technologies and Applications,ITA,National: USA,Information Systems†
525,International Conference on Knowledge Engineering and Knowledge Management,EKAW,B,Information Systems†
526,International Conference on Knowledge Engineering and Ontology Development,KEOD,C,Artificial Intelligence and Image Processing†
527,"International Conference on Knowledge Science, Engineering and Management",KSEM,B,Artificial Intelligence and Image Processing†
528,International Conference on Knowledge-Based and Intelligent Information and Engineering Systems,KES,B,Information Systems†
529,International Conference on Language and Automata Theory and Applications,LATA,C,Computation Theory and Mathematics†
530,International Conference on Legal Knowledge and Information Systems,JURIX,C,Information Systems†
531,International Conference on Logic Programming,ICLP,A,Computation Theory and Mathematics†
532,International Conference on Logic Programming and Non-monotonic Reasoning,LPNMR,A,Computation Theory and Mathematics†
533,International Conference on Machine Learning,ICML,A*,Artificial Intelligence and Image Processing†
534,International Conference on Machine Learning and Applications,ICMLA,C,Artificial Intelligence and Image Processing†
535,International Conference on Machine Learning and Cybernetics,ICMLC,National: China,Artificial Intelligence and Image Processing†
536,International Conference on Machine Vision,ICMV,C,Artificial Intelligence and Image Processing†
537,International Conference on Managed Programming Languages and Runtimes (was ManLang and previously Principles and Practice of Programming in Java: PPPJ),MPLR,C,Computer Software†
538,International Conference on Management of Data,COMAD,National: India,Information Systems†
539,International Conference on Management of Digital EcoSystems,MEDES,Unranked,Distributed computing and systems software
540,International Conference on Mobile and Ubiquitous Systems: Networks and Services,Mobiquitous,A,Distributed Computing†
541,International Conference on Mobile Data Management,MDM,C,Data Format†
542,International Conference on Mobile Systems and Pervasive Computing,MobiSPC,Unranked,Distributed computing and systems software
543,"International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies",UBICOMM,C,Distributed Computing†
544,"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",MODELS,A,Information Systems†
545,International Conference on Model Transformation,ICMT,B,Computer Software†
546,International Conference on Modelling and Simulation (was ESM European Simulation MultiConference),ECMS,B,Computation Theory and Mathematics†
547,International Conference on Modelling Decisions for Artificial Intelligence,MDAI,B,Artificial Intelligence and Image Processing†
548,International Conference on Multimedia Modelling,MMM,C,Information Systems†
549,International Conference on Multimedia Retrieval (previously MIR),ICMR,B,Data Format†
550,International Conference on Multimodal Interaction (was International Conference on Multimodal Interfaces),ICMI,B,Information Systems†
551,International Conference on Natural Computation,ICNC,National: China,Artificial Intelligence and Image Processing†
552,International Conference on Network and Service Management (amalgamation of DSOM and related workshops from 2010),CNSM,B,Distributed Computing†
553,International Conference on network and System Security,NSS,B,Computer Software†
554,International Conference on Network Protocols,ICNP,A,Computer Hardware†
555,International Conference on Neural Information Processing,ICONIP,A,Artificial Intelligence and Image Processing†
556,International Conference on Optimization: Techniques And Applications,ICOTA,C,Computation Theory and Mathematics†
557,International Conference on Pairing-based Cryptography,Pairing,C,Data Format†
558,"International Conference on Parallel and Distributed Computing, Applications and Technologies",PDCAT,B,Distributed Computing†
559,International Conference on Parallel and Distributed Processing Techniques and Applications,PDPTA,National: USA,Distributed Computing†
560,International Conference on Parallel and Distributed Systems,ICPADS,B,Distributed Computing†
561,International Conference on Parallel Architecture and Compilation Techniques,PACT,A,Distributed Computing†
562,International Conference on Parallel Processing,ICPP,A,Distributed Computing†
563,International Conference on Parallel Processing and Applied Mathematics,PPAM,National: Poland,Distributed Computing†
564,International Conference on Pattern Recognition,ICPR,B,Artificial Intelligence and Image Processing†
565,International Conference on Practice and Theory in Public Key Cryptography,PKC,B,Computer Software†
566,International Conference on Principles and Practice of Constraint Programming,CP,A,Computer Software†
567,International Conference on Principles and Practice of Declarative Programming,PPDP,B,Computer Software†
568,International Conference on Principles of Distributed Systems,OPODIS,B,Distributed Computing†
569,International Conference on Principles of Practice in Multi-Agent Systems (prior to 2009 was Pacific Rim International Workshop on Multi-Agents),PRIMA,B,Artificial Intelligence and Image Processing†
570,International Conference on Principles of Security and Trust,POST,Unranked,Cybersecurity and privacy
571,"International Conference on Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms (was Conference on Analysis of Algorithms)",AofA,B,Computation Theory and Mathematics†
572,International Conference on Provable Security,ProvSec,B,Computer Software†
573,International Conference on Recent Advances in Natural Language Processing,RANLP,National: bulgaria,Artificial Intelligence and Image Processing†
574,International Conference on Relational and AlgebraicMethods in Computer Science (was International Conference on Relational Methods in Computer Science RelMiCS),RAMiCS,C,Computation Theory and Mathematics†
575,International Conference on Reliable Software Technologies,Ada-Europe,B,Computer Software†
576,International Conference on Research Challenges in Information Science,RCIS,B,Information Systems†
577,International Conference on Risks and Security of Internet and Systems,CRiSIS,C,Computer Software†
578,"International Conference on Robotics, Vision, Signal Processing and Power Applications (was ROVPIA)",RoVISP,National: Malaysia,Manufacturing Engineering†
579,International Conference on Runtime Verification (was workshop pre 2010),RV,C,Computer Software†
580,International Conference on Scientific and Statistical Data Base Management,SSDBM,A,Data Format†
581,International Conference on Security and Privacy for Communication Networks,SecureComm,B,Computer Software†
582,International Conference on Security of Information and Networks,SIN,C,Computer Software†
583,International Conference on Semantics Knowledge and Grid,SKG,National: China,Information Systems†
584,International Conference on Sequences and their Applications,SETA,B,Computation Theory and Mathematics†
585,International Conference on Service Oriented Computing,ICSOC,A,Distributed Computing†
586,International Conference on Smart homes and health Telematics,ICOST,C,Applied computing
587,International Conference on Software and Data Technologies,ICSoft,B,Computer Software†
588,International Conference on Software and System Processes (was ICSP prior to 2011),ICSSP,A,Computer Software†
589,International Conference on Software Architecture (was previously WICSA),ICSA,NEW,Computer Software†
590,International Conference on Software Engineering,ICSE,A*,Computer Software†
591,International Conference on Software Engineering Advances,ICSEA,C,Computer Software†
592,International Conference on Software Engineering and Formal Methods,SEFM,B,Computer Software†
593,International Conference on Software Engineering and Knowledge Engineering,SEKE,B,Computer Software†
594,"International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",SNPD,C,Information and Computing Sciences†
595,International Conference on Software Language Engineering,SLE,B,Computer Software†
596,International Conference on Software Quality Management,SQM,C,Computer Software†
597,International Conference on Software Reuse,ICSR,B,Computer Software†
598,"International Conference on Software Testing, Verification and Validation",ICST,A,Computer Software†
599,International Conference on Sustainable Energy Information Technology,SEIT,Unranked,Distributed computing and systems software
600,International Conference on Systems Engineering,ICSEng,C,Computer Software†
601,International Conference on Tests and Proofs,TAP,B,Computer Software†
602,International Conference on the Application and Theory of Petri Nets and Concurrency,ICATPN,B,Computation Theory and Mathematics†
603,International Conference on the Foundations of Digital Games,FDG,C,Artificial Intelligence and Image Processing†
604,International Conference on the Principles of Knowledge Representation and Reasoning,KR,A*,Computation Theory and Mathematics†
605,International Conference on the Quality of Information and Communications Technology,QUATIC,C,Software engineering
606,International Conference on the Simulation and Synthesis of Living Systems,ALIFE,A,Artificial Intelligence and Image Processing†
607,International Conference on the Statistical Analysis of Textual Data,JADT,C,Data Format†
608,International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,A*,Data Format†
609,International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,A,Data Format†
610,International Conference on the Theory of Information Retrieval,ICTIR,Unranked,Data management and data science
611,International Conference on Theorem Proving with Analytic Tableaux and Related Methods,TABLEAUX,A,Computation Theory and Mathematics†
612,International Conference on Theory and Applications of Satisfiability Testing,SAT,A,Computation Theory and Mathematics†
613,International Conference on Theory and Practice of Digital Libraries (was ECDL until 2010),TPDL,B,Rank: A
614,International Conference on Tools with Artificial Intelligence,ICTAI,B,Artificial Intelligence and Image Processing†
615,"International Conference on Trust, Privacy and Security in Digital Business",TrustBus,B,Computer Software†
616,"International Conference on Trust, Security and Privacy in Computing and Communications",TrustCom,A,Computer Software†
617,International Conference on Ubiquitous Intelligence and Computing,UIC,B,Artificial Intelligence and Image Processing†
618,International Conference on Unconventional Computation and Natural Computation (was International Conference on Unconventional Computation),UC,C,Computation Theory and Mathematics†
619,"International Conference on User Modelling, Adaptation, and Personalization (was AH and UM)",UMAP,B,"Rank change from B to A rejected. Argument based solely on being merger of two A venues. Not unequivocally supported. This round made only limited unequivocal changes.
            
            
            (Data)"
620,International Conference on Very Large Databases,VLDB,A*,Data Format†
621,International Conference on Virtual Execution Environments,VEE,A,Computer Software†
622,International Conference on Virtual Rehabilitation,ICVR,Unranked,Artificial Intelligence and Image Processing†
623,International Conference on Virtual Systems and MultiMedia,VSMM,B,Design Practice and Management†
624,International Conference on VLSI Design,VLSID,National: India,Communications Technologies†
625,International Conference on Web and Social Media,ICWSM,Unranked,Artificial Intelligence and Image Processing†
626,International Conference on Web Engineering,ICWE,B,Information Systems†
627,International Conference on Web Information Systems and Technologies,WEBIST,C,Information Systems†
628,International Conference on Web Information Systems Engineering,WISE,A,Distributed Computing†
629,"International Conference: Sciences of Electronics, Technologies of information and Telecommunication",SETIT,Unranked,Information and Computing Sciences
630,"International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision",WSCG,National: Czecholslovakia,Artificial Intelligence and Image Processing†
631,International Congress on Computational and Applied Mathematics,ICCAM,C,Computation Theory and Mathematics†
632,International Congress on Modelling and Simulation,MODSIM,Australasian C,Artificial Intelligence and Image Processing†
633,International CSI Computer Conference,CSICC,National: Iran,Computation Theory and Mathematics†
634,International Database Engineering and Applications Symposium,IDEAS,B,Data Format†
635,International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing),EuroPar,A,Rank: A
636,International FLINS Conference on Robotics and Artificial Intelligence (was International Fuzzy Logic and Intelligent technologies in Nuclear Science Conference),FLINS,B,Artificial Intelligence and Image Processing†
637,International Frontiers of Algorithmics Workshop,FAW,National: China,Computation Theory and Mathematics†
638,International Joint Conference on Artificial Intelligence,IJCAI,A*,Artificial Intelligence and Image Processing†
639,International Joint Conference on Automated Reasoning,IJCAR,A*,Artificial Intelligence and Image Processing†
640,"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,A*,Artificial Intelligence and Image Processing†
641,"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",IC3K,C,Technology†
642,International Joint Conference on Natural Language Processing,IJCNLP,B,Artificial Intelligence and Image Processing†
643,International Joint Conference on Rough Sets (2014 International Conference on Rough Sets and Current Trends in Computing joined with 3 others),IJCRS (was RSCTC),C,Artificial Intelligence and Image Processing†
644,International KES Symposium on Agents and Multiagent systems - Technologies and Applications,KES AMSTA,C,Artificial Intelligence and Image Processing†
645,International Machine Vision and Image Processing Conference,IMVIP,National: ireland,Artificial Intelligence and Image Processing†
646,"International Meeting on High Performance Computing for Computational Science (previously International Meeting Vector and Parallel Processing, changed in 2002)",VECPAR,B,Distributed Computing†
647,International Natural Language Generation Conference,INLG,B,Artificial Intelligence and Image Processing†
648,International Network Optimization Conference,INOC,C,Computation Theory and Mathematics†
649,International Picture Coding Symposium,PCS,C,Communications Technologies†
650,International Semantic Web Conference,ISWC,A,Data Format†
651,International Symposium on Algorithmic Game Theory,SAGT,B,Computation Theory and Mathematics†
652,International Symposium on Algorithms and Computation,ISAAC,A,Computation Theory and Mathematics†
653,International Symposium on Algorithms and Experiments for  Wireless Networks,Algosensors,C,"Request to add as B. Decision to rank as C.
            
            
            (Data)
            
            
            
            (Decision)"
654,International Symposium on Applied Computational Intelligence and Informatics,SACI,National: Romania,Artificial Intelligence and Image Processing†
655,International Symposium on Applied Machine Intelligence and Informatics,SAMI,National: slovakia,Artificial Intelligence and Image Processing†
656,International Symposium on Artificial Intelligence and Mathematics,ISAIM,National: USA,Computation Theory and Mathematics†
657,International Symposium on Artificial Life and Robotics,AROB,C,Artificial Intelligence and Image Processing†
658,International Symposium on Automated Technology for Verification and Analysis,ATVA,A,Computer Software†
659,International Symposium on Automation and Robotics in Construction,ISARC,C,Manufacturing Engineering†
660,International Symposium on Autonomous Decentralized Systems,ISADS,C,Distributed Computing†
661,International Symposium on Code Generation and Optimization,CGO,A,Computer Software†
662,International Symposium on Combinatorial Optimisation,ISCO,C,Computation Theory and Mathematics†
663,International Symposium on Computational Geometry,SoCG,A,Computation Theory and Mathematics†
664,International Symposium on Computer and Information Sciences,ISCIS,C,Information Systems†
